# Threshold|Target|Start|End|Ndays|Status|Value|Notes
hiAmp|IM.I58H4..BDF.D|2021-01-14|2021-01-14|1||TODO|
hiAmp|IM.FSAH2.I4.HDF.D|2021-01-14|2021-01-15|2||TODO|
hiAmp|IM.FSAH2.I5.HDF.D|2021-01-14|2021-01-15|2||TODO|
hiAmp|IM.FSAH2.I6.HDF.D|2021-01-14|2021-01-15|2||TODO|
hiAmp|IM.FSAH3.I3.HDF.D|2021-01-14|2021-01-14|1||TODO|
hiAmp|IM.FSAH3.I4.HDF.D|2021-01-14|2021-01-14|1||TODO|
hiAmp|IM.FSAH4.I4.HDF.D|2021-01-14|2021-01-15|2||TODO|
hiAmp|IM.FSAH4.I5.HDF.D|2021-01-14|2021-01-15|2||TODO|
hiAmp|IM.FSAH4.I6.HDF.D|2021-01-14|2021-01-15|2||TODO|
hiAmp|IM.FSAH7.I3.HDF.D|2021-01-14|2021-01-15|2||TODO|
hiAmp|IM.FSAH7.I4.HDF.D|2021-01-14|2021-01-16|3||TODO|
hiAmp|IM.SDPI.02.HDF.D|2021-01-16|2021-01-16|1||TODO|
hiAmp|IM.SDPI.05.HDF.D|2021-01-16|2021-01-17|2||TODO|
lowAmp|IM.FSAH1.S1.SHE.D|2021-01-12|2021-01-14|3||TODO|
lowAmp|IM.FSAH1.S1.SHN.D|2021-01-12|2021-01-13|2||TODO|
lowAmp|HQ.HQ1..HDF.D|2021-01-11|2021-01-11|1||TODO|
lowAmp|HQ.HQ1..HDF.D|2021-01-13|2021-01-17|5||TODO|
lowAmp|IM.FSAH2.I2.HDF.D|2021-01-11|2021-01-17|7||TODO|
lowAmp|IM.FSAH4.I2.HDF.D|2021-01-11|2021-01-17|7||TODO|
lowRms|IM.FSAH1.B1.BHE.D|2021-01-11|2021-01-17|7||TODO|
lowRms|IM.FSAH1.B1.BHN.D|2021-01-11|2021-01-17|7||TODO|
lowRms|IM.FSAH1.B1.BHZ.D|2021-01-11|2021-01-17|7||TODO|
lowRms|IM.FSAH8.B1.BHE.D|2021-01-11|2021-01-17|7||TODO|
lowRms|IM.FSAH8.B1.BHN.D|2021-01-11|2021-01-17|7||TODO|
lowRms|IM.FSAH8.B1.BHZ.D|2021-01-11|2021-01-17|7||TODO|
lowRms|IM.FSAH2.I2.HDF.D|2021-01-11|2021-01-17|7||TODO|
lowRms|IM.FSAH4.I2.HDF.D|2021-01-11|2021-01-17|7||TODO|
zDip|IM.FSAH8.S1.SHZ|2016-05-23|2021-01-19|1703||TODO|
