# Threshold|Target|Start|End|Ndays|Status|Value|Notes
avgGaps|IU.QSPA.10.BHZ.D|2020-11-30|2020-12-07|7|5.9|TODO|
avgGaps|IU.QSPA.10.BH1.D|2020-11-30|2020-12-07|7|5.9|TODO|
avgGaps|IU.QSPA.10.BH2.D|2020-11-30|2020-12-07|7|6.0|TODO|
avgGaps|II.KDAK.00.BHZ.D|2020-11-30|2020-12-07|7|2.0|TODO|
avgGaps|II.KDAK.00.BH1.D|2020-11-30|2020-12-07|7|2.0|TODO|
avgGaps|II.KDAK.00.BH2.D|2020-11-30|2020-12-07|7|2.0|TODO|
avgGaps|US.ELK.00.BHZ.D|2020-11-30|2020-12-07|7|48.9|TODO|
avgGaps|US.ELK.00.BH1.D|2020-11-30|2020-12-07|7|47.9|TODO|
avgGaps|US.ELK.00.BH2.D|2020-11-30|2020-12-07|7|48.3|TODO|
avgGaps|AV.DLL.01.HDF.D|2020-11-30|2020-12-07|7|2.1|TODO|
avgGaps|AV.DLLH1..HDF.D|2020-11-30|2020-12-07|7|3.0|TODO|
gapsRatioGt12|II.KDAK.00.BH1.D|2020-12-06|2020-12-06|1||TODO|
gapsRatioGt12|II.KDAK.00.BH2.D|2020-12-06|2020-12-06|1||TODO|
gapsRatioGt12|II.KDAK.00.BHZ.D|2020-12-06|2020-12-06|1||TODO|
gapsRatioGt12|IU.QSPA.10.BH1.D|2020-12-04|2020-12-05|2||TODO|
gapsRatioGt12|IU.QSPA.10.BH2.D|2020-12-04|2020-12-05|2||TODO|
gapsRatioGt12|IU.QSPA.10.BHZ.D|2020-12-04|2020-12-05|2||TODO|
gapsRatioGt12|US.ELK.00.BH1.D|2020-11-30|2020-12-06|7||TODO|
gapsRatioGt12|US.ELK.00.BH2.D|2020-11-30|2020-12-06|7||TODO|
gapsRatioGt12|US.ELK.00.BHZ.D|2020-11-30|2020-12-06|7||TODO|
gapsRatioGt12|AV.DLL.01.HDF.D|2020-11-30|2020-11-30|1||TODO|
gapsRatioGt12|AV.DLLH1..HDF.D|2020-11-30|2020-11-30|1||TODO|
gapsRatioGt12|AV.DLLH2..HDF.D|2020-11-30|2020-11-30|1||TODO|
avgSpikes|IM.SHEM..BHN.D|2020-11-30|2020-12-07|7|2345.6|TODO|
badResp|IU.GUMO.10.BH1.D|2020-11-30|2020-12-06|7||TODO|
badResp|IU.GUMO.10.BH2.D|2020-11-30|2020-12-06|7||TODO|
badResp|IU.SJG.10.BH1.D|2020-11-30|2020-12-06|7||TODO|
badResp|IU.SJG.10.BH2.D|2020-12-03|2020-12-04|2||TODO|
badResp|IM.NV04..SHZ.D|2020-12-02|2020-12-02|1||TODO|
badResp|IM.NV07..SHZ.D|2020-12-02|2020-12-02|1||TODO|
badResp|IM.NV09..SHZ.D|2020-12-02|2020-12-02|1||TODO|
dead|IM.FSAH1.B1.BHE.D|2020-11-30|2020-12-06|7||TODO|
dead|IM.FSAH1.B1.BHN.D|2020-11-30|2020-12-06|7||TODO|
dead|IM.FSAH1.B1.BHZ.D|2020-11-30|2020-12-06|7||TODO|
dead|IM.FSAH8.B1.BHE.D|2020-11-30|2020-12-06|7||TODO|
