# Threshold|Target|Start|End|Ndays|Status|Value|Notes
avgGaps|IU.QSPA.10.BHZ.D|2020-12-28|2021-01-04|7|2.1|TODO|
avgGaps|IU.QSPA.10.BH1.D|2020-12-28|2021-01-04|7|2.1|TODO|
avgGaps|IU.QSPA.10.BH2.D|2020-12-28|2021-01-04|7|2.1|TODO|
avgGaps|US.ELK.00.BHZ.D|2020-12-28|2021-01-04|7|54.9|TODO|
avgGaps|US.ELK.00.BH1.D|2020-12-28|2021-01-04|7|53.1|TODO|
avgGaps|US.ELK.00.BH2.D|2020-12-28|2021-01-04|7|55.1|TODO|
avgGaps|IM.I52C1..BDF.D|2020-12-28|2021-01-04|7|13.7|TODO|
avgGaps|IM.I52C2..BDF.D|2020-12-28|2021-01-04|7|13.7|TODO|
avgGaps|IM.I52C3..BDF.D|2020-12-28|2021-01-04|7|13.7|TODO|
avgGaps|IM.I52C4..BDF.D|2020-12-28|2021-01-04|7|13.7|TODO|
avgGaps|IM.I52C5..BDF.D|2020-12-28|2021-01-04|7|13.7|TODO|
avgGaps|IM.I52C6..BDF.D|2020-12-28|2021-01-04|7|13.9|TODO|
avgGaps|IM.I52C7..BDF.D|2020-12-28|2021-01-04|7|13.7|TODO|
avgGaps|AV.DLL.01.HDF.D|2020-12-28|2021-01-04|7|40.3|TODO|
avgGaps|AV.DLL.02.HDF.D|2020-12-28|2021-01-04|7|51.7|TODO|
avgGaps|AV.DLL.03.HDF.D|2020-12-28|2021-01-04|7|46.9|TODO|
avgGaps|AV.DLLH1..HDF.D|2020-12-28|2021-01-04|7|40.4|TODO|
avgGaps|AV.DLLH2..HDF.D|2020-12-28|2021-01-04|7|54.3|TODO|
avgGaps|AV.DLLH3..HDF.D|2020-12-28|2021-01-04|7|49.1|TODO|
gapsRatioGt12|US.ELK.00.BH1.D|2020-12-28|2021-01-03|7||TODO|
gapsRatioGt12|US.ELK.00.BH2.D|2020-12-28|2021-01-03|7||TODO|
gapsRatioGt12|US.ELK.00.BHZ.D|2020-12-28|2021-01-03|7||TODO|
gapsRatioGt12|IM.I52C1..BDF.D|2020-12-30|2020-12-31|2||TODO|
gapsRatioGt12|IM.I52C2..BDF.D|2020-12-30|2020-12-31|2||TODO|
gapsRatioGt12|IM.I52C3..BDF.D|2020-12-30|2020-12-31|2||TODO|
gapsRatioGt12|IM.I52C4..BDF.D|2020-12-30|2020-12-31|2||TODO|
gapsRatioGt12|IM.I52C5..BDF.D|2020-12-30|2020-12-31|2||TODO|
gapsRatioGt12|IM.I52C6..BDF.D|2020-12-30|2020-12-31|2||TODO|
gapsRatioGt12|IM.I52C7..BDF.D|2020-12-30|2020-12-31|2||TODO|
gapsRatioGt12|AV.DLL.01.HDF.D|2020-12-30|2020-12-31|2||TODO|
gapsRatioGt12|AV.DLL.02.HDF.D|2020-12-30|2021-01-01|3||TODO|
gapsRatioGt12|AV.DLL.03.HDF.D|2020-12-28|2020-12-29|2||TODO|
gapsRatioGt12|AV.DLL.03.HDF.D|2020-12-31|2021-01-01|2||TODO|
gapsRatioGt12|AV.DLLH1..HDF.D|2020-12-30|2020-12-31|2||TODO|
gapsRatioGt12|AV.DLLH2..HDF.D|2020-12-30|2021-01-01|3||TODO|
gapsRatioGt12|AV.DLLH3..HDF.D|2020-12-28|2020-12-29|2||TODO|
gapsRatioGt12|AV.DLLH3..HDF.D|2020-12-31|2021-01-01|2||TODO|
